#PathwayID	Pathway name	Ontology all ancestors
PWY-6679	jadomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-1186	L-homomethionine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-7045	mithramycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7275	L-homophenylalanine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-7626	bacilysin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7701	4-hydroxy-4-methyl-L-glutamate biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-7735	echinomycin and triostin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-8034	spectinabilin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7274	D-cycloserine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5929	puromycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7649	3-hydroxy-L-homotyrosine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-6721	sangivamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-8140	serine racemization	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-7352	daunorubicin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7665	aureobasidin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7770	indolmycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis
PWY-6949	DIBOA-glucoside biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis
PWY-7739	aucuparin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis
PWY-7463	N-methylanthraniloyl-&beta;-D-glucopyranose biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis
PWY-7100	spinosyn A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Insecticide Biosynthesis
PWY-6926	pyrethrin I biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Insecticide Biosynthesis
PWY-8069	nepetalactone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Insecticide Biosynthesis
PWY-7960	rhabduscin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Insecticide Biosynthesis
PWY-7101	5-deoxystrigol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|Plant Hormone Biosynthesis
PWY-7881	virginiae butanolide type &gamma;-butyrolactones biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|&gamma;-butyrolactone biosynthesis
PWY-4921	protein citrullination	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis|L-citrulline Biosynthesis|Modification of Amino Acid Within Proteins
PWY-7878	A-factor &gamma;-butyrolactone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|&gamma;-butyrolactone biosynthesis
PWY-5905	hypusine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Modification of Amino Acid Within Proteins
PWY-7882	IM-2 type &gamma;-butyrolactones biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|&gamma;-butyrolactone biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|Geranylgeranyl Diphosphate Biosynthesis
PWY-7850	taurine biosynthesis II	Biosynthesis|Secondary Metabolite Biosynthesis|Sulfur-Containing Secondary Compound Biosynthesis|Taurine Biosynthesis
PWY-5331	taurine biosynthesis I	Biosynthesis|Secondary Metabolite Biosynthesis|Sulfur-Containing Secondary Compound Biosynthesis|Taurine Biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-5122	geranyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-5526	bacteriochlorophyll a biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
PWY-5817	dodecaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7760	bacteriochlorophyll e biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7759	bacteriochlorophyll c biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-8127	chlorophyll b2 biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
PWY-6520	nonaprenyl diphosphate biosynthesis II	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7758	bacteriochlorophyll d biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7762	bacteriochlorophyll b biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Chlorophyll Biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7170	phytochromobilin biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis
PWY-7580	phycoerythrobilin biosynthesis II	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
PWY-5917	phycocyanobilin biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
PWY-7579	phycourobilin biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
PWY-5915	phycoerythrobilin biosynthesis I	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
PWY-7578	phycoviolobilin biosynthesis	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Phycobilin Biosynthesis
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
PWY-7552	heme b biosynthesis III (from siroheme)	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
PWY-6794	adenosine 5'-phosphoramidate biosynthesis	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
PWY-4521	arsenite oxidation I (respiratory)	Electron Transfer Chains|Chemoautotrophic Energy Metabolism|Detoxification|Arsenate Detoxification|Generation of Precursor Metabolites and Energy|Respiration|Aerobic Respiration
PWY-7766	heme b biosynthesis IV (Gram-positive bacteria)	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
PWY0-1355	formate to trimethylamine N-oxide electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport	Generation of Precursor Metabolites and Energy|Electron Transfer Chains
PWY-7974	cobalamin salvage (eukaryotic)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Cobamide Biosynthesis|Cobinamide Salvage
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6268	adenosylcobalamin salvage from cobalamin	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Cobamide Biosynthesis|Cobinamide Salvage
PWY0-1561	glycerol-3-phosphate to cytochrome bo oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY1YI0-7	protective electron sinks in the thylakoid membrane (PSII to PTOX)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains
PWY-7545	pyruvate to cytochrome bd oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY0-1568	NADH to cytochrome bd oxidase electron transfer II	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Cobamide Biosynthesis|Cobamide de novo Biosynthesis
PWY0-1334	NADH to cytochrome bd oxidase electron transfer I	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7041	the visual cycle II (molluscs)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Vitamin A Biosynthesis|Visual Cycles
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-6861	the visual cycle I (vertebrates)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Vitamin A Biosynthesis|Visual Cycles
P282-PWY	nitrite oxidation	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Chemoautotrophic Energy Metabolism
PWY-7043	11-cis-3-hydroxyretinal biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Vitamin A Biosynthesis|Visual Cycles
PWY0-1347	NADH to trimethylamine N-oxide electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-7042	the visual cycle (insects)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Vitamin A Biosynthesis|Visual Cycles
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-4302	aerobic respiration III (alternative oxidase pathway)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY0-1353	succinate to cytochrome bd oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6892	thiazole component of thiamine diphosphate biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiazole Biosynthesis
PWY0-1590	NADH to hydrogen peroxide electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains
PWY-6891	thiazole component of thiamine diphosphate biosynthesis II	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiazole Biosynthesis
PWY-6057	dimethylsulfide to cytochrome c2 electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Dimethylsulfide Degradation
PWY-6909	thiazole component of thiamne diphosphate biosynthesis III	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiazole Biosynthesis
PWY0-1544	proline to cytochrome bo oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6896	thiamine diphosphate salvage I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY1YI0-6	aerobic respiration in cyanobacteria (NDH-2 to cytochrome c oxidase via plastocyanin)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6899	base-degraded thiamine salvage	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY-7544	pyruvate to cytochrome bo oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY0-1567	NADH to cytochrome bo oxidase electron transfer II	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6898	thiamine diphosphate salvage III	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY0-1329	succinate to cytochrome bo oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7356	thiamine diphosphate salvage IV (yeast)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY0-1576	hydrogen to fumarate electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-6910	hydroxymethylpyrimidine salvage	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|thiamine Diphosphate Salvage
PWY0-1336	NADH to fumarate electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiamine Diphosphate Biosynthesis
PWY0-1581	nitrate reduction IX (dissimilatory)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiamine Diphosphate Biosynthesis
PWY-3781	aerobic respiration I (cytochrome c)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiamine Diphosphate Biosynthesis
PWY0-1352	nitrate reduction VIII (dissimilatory)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Thiamine Diphosphate Biosynthesis
PWY0-1585	formate to nitrite electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY-5358	tetrathionate reduction I (to thiosulfate)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Tetrathionate Reduction|Generation of Precursor Metabolites and Energy|Electron Transfer Chains
PWY0-1356	formate to dimethyl sulfoxide electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY1YI0-3	aerobic respiration (NDH-1 to cytochrome c oxidase via plastocyanin)	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7429	arsenite oxidation II (respiratory)	Electron Transfer Chains|Chemoautotrophic Energy Metabolism|Detoxification|Arsenate Detoxification|Generation of Precursor Metabolites and Energy|Respiration|Aerobic Respiration
PWY0-1565	D-lactate to cytochrome bo oxidase electron transfer	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY0-1321	nitrate reduction III (dissimilatory)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Anaerobic Respiration
PWY0-1335	NADH to cytochrome bo oxidase electron transfer I	Generation of Precursor Metabolites and Energy|Electron Transfer Chains|Respiration|Aerobic Respiration
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis|6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis
